event_id,machine_id,line_id,start_time,end_time,duration_min,cause_code,severity,shift_id,operator_name
1,M01,L1,2024-01-23T23:15:00,2024-01-23T23:20:00,5,SENSOR_FAULT,LOW,NIGHT,Morgan
2,M01,L1,2024-09-14T16:31:00,2024-09-14T16:44:00,13,MECH_FAILURE,MEDIUM,EVENING,Taylor
3,M01,L1,2024-07-18T16:41:00,2024-07-18T17:01:00,20,MECH_FAILURE,HIGH,EVENING,Alex
4,M01,L1,2024-09-08T22:05:00,2024-09-08T22:53:00,48,MECH_FAILURE,HIGH,NIGHT,Alex
5,M01,L1,2024-07-16T00:14:00,2024-07-16T01:23:00,69,MATERIAL_JAM,HIGH,NIGHT,Jordan
6,M01,L1,2024-10-29T23:37:00,2024-10-30T00:34:00,57,SENSOR_FAULT,MEDIUM,NIGHT,Riley
7,M01,L1,2024-03-25T06:53:00,2024-03-25T08:05:00,72,MATERIAL_JAM,LOW,MORNING,Alex
8,M01,L1,2024-10-02T23:32:00,2024-10-02T23:49:00,17,SENSOR_FAULT,LOW,NIGHT,Jordan
9,M01,L1,2024-09-25T09:39:00,2024-09-25T10:32:00,53,MATERIAL_JAM,MEDIUM,MORNING,Alex
10,M01,L1,2024-06-09T00:14:00,2024-06-09T00:45:00,31,MECH_FAILURE,LOW,NIGHT,Morgan
11,M01,L1,2024-12-21T01:06:00,2024-12-21T01:38:00,32,MECH_FAILURE,LOW,NIGHT,Jordan
12,M01,L1,2024-01-16T22:00:00,2024-01-16T22:41:00,41,MECH_FAILURE,HIGH,NIGHT,Alex
13,M01,L1,2024-07-12T06:37:00,2024-07-12T06:50:00,13,MECH_FAILURE,HIGH,MORNING,Jordan
14,M01,L1,2024-02-17T16:14:00,2024-02-17T17:03:00,49,MECH_FAILURE,LOW,EVENING,Morgan
15,M01,L1,2024-05-01T23:42:00,2024-05-02T00:12:00,30,SENSOR_FAULT,LOW,NIGHT,Jordan
16,M01,L1,2024-03-19T16:37:00,2024-03-19T17:41:00,64,MATERIAL_JAM,LOW,EVENING,Sam
17,M01,L1,2024-10-19T22:45:00,2024-10-20T00:12:00,87,SENSOR_FAULT,LOW,NIGHT,Morgan
18,M01,L1,2024-05-05T23:03:00,2024-05-05T23:13:00,10,MECH_FAILURE,LOW,NIGHT,Taylor
19,M01,L1,2024-11-06T08:54:00,2024-11-06T09:06:00,12,MATERIAL_JAM,LOW,MORNING,Alex
20,M01,L1,2024-11-20T09:59:00,2024-11-20T10:21:00,22,CHANGEOVER_ISSUE,LOW,MORNING,Taylor
21,M01,L1,2024-06-13T09:00:00,2024-06-13T10:33:00,93,MECH_FAILURE,HIGH,MORNING,Taylor
22,M01,L1,2024-07-08T08:00:00,2024-07-08T08:15:00,15,MATERIAL_JAM,MEDIUM,MORNING,Morgan
23,M01,L1,2024-06-18T07:58:00,2024-06-18T08:35:00,37,MECH_FAILURE,HIGH,MORNING,Alex
24,M01,L1,2024-04-16T07:21:00,2024-04-16T08:22:00,61,CHANGEOVER_ISSUE,LOW,MORNING,Alex
25,M01,L1,2024-12-31T14:45:00,2024-12-31T15:12:00,27,SENSOR_FAULT,MEDIUM,EVENING,Morgan
26,M01,L1,2024-04-06T23:29:00,2024-04-07T00:01:00,32,MECH_FAILURE,MEDIUM,NIGHT,Morgan
27,M01,L1,2024-06-02T08:49:00,2024-06-02T08:59:00,10,MECH_FAILURE,LOW,MORNING,Sam
28,M01,L1,2024-01-07T00:11:00,2024-01-07T01:22:00,71,MECH_FAILURE,LOW,NIGHT,Morgan
29,M01,L1,2024-12-11T09:31:00,2024-12-11T10:38:00,67,SENSOR_FAULT,LOW,MORNING,Jordan
30,M01,L1,2024-11-22T22:20:00,2024-11-22T23:31:00,71,MECH_FAILURE,MEDIUM,NIGHT,Jordan
31,M01,L1,2024-09-22T14:23:00,2024-09-22T15:21:00,58,MECH_FAILURE,MEDIUM,EVENING,Alex
32,M01,L1,2024-02-04T07:20:00,2024-02-04T08:09:00,49,MECH_FAILURE,LOW,MORNING,Sam
33,M01,L1,2024-08-10T09:29:00,2024-08-10T10:30:00,61,MATERIAL_JAM,MEDIUM,MORNING,Jordan
34,M01,L1,2024-07-29T14:31:00,2024-07-29T15:49:00,78,MATERIAL_JAM,HIGH,EVENING,Sam
35,M01,L1,2024-03-17T15:24:00,2024-03-17T16:18:00,54,MECH_FAILURE,HIGH,EVENING,Morgan
36,M01,L1,2024-10-01T16:53:00,2024-10-01T16:58:00,5,SENSOR_FAULT,LOW,EVENING,Taylor
37,M01,L1,2024-02-08T09:43:00,2024-02-08T11:18:00,95,MECH_FAILURE,HIGH,MORNING,Jordan
38,M01,L1,2024-05-08T09:16:00,2024-05-08T10:10:00,54,MATERIAL_JAM,HIGH,MORNING,Alex
39,M01,L1,2024-08-04T07:13:00,2024-08-04T07:22:00,9,SENSOR_FAULT,LOW,MORNING,Taylor
40,M01,L1,2024-01-30T08:52:00,2024-01-30T09:09:00,17,MATERIAL_JAM,LOW,MORNING,Sam
41,M01,L1,2024-12-22T08:00:00,2024-12-22T08:33:00,33,SENSOR_FAULT,MEDIUM,MORNING,Taylor
42,M01,L1,2024-02-21T15:31:00,2024-02-21T16:39:00,68,MECH_FAILURE,HIGH,EVENING,Taylor
43,M01,L1,2024-04-15T14:56:00,2024-04-15T15:01:00,5,MECH_FAILURE,LOW,EVENING,Taylor
44,M01,L1,2024-11-01T23:56:00,2024-11-02T00:25:00,29,MECH_FAILURE,LOW,NIGHT,Alex
45,M01,L1,2024-06-10T16:46:00,2024-06-10T17:10:00,24,MECH_FAILURE,MEDIUM,EVENING,Alex
46,M01,L1,2024-07-24T08:32:00,2024-07-24T09:20:00,48,SENSOR_FAULT,MEDIUM,MORNING,Riley
47,M01,L1,2024-06-06T06:26:00,2024-06-06T07:29:00,63,SENSOR_FAULT,LOW,MORNING,Alex
48,M01,L1,2024-06-01T08:07:00,2024-06-01T08:37:00,30,MATERIAL_JAM,LOW,MORNING,Alex
49,M01,L1,2024-12-26T14:28:00,2024-12-26T16:05:00,97,MATERIAL_JAM,MEDIUM,EVENING,Jordan
50,M01,L1,2024-12-02T14:58:00,2024-12-02T15:30:00,32,SENSOR_FAULT,LOW,EVENING,Sam
51,M01,L1,2024-11-14T17:50:00,2024-11-14T18:04:00,14,SENSOR_FAULT,HIGH,EVENING,Riley
52,M01,L1,2024-08-28T15:05:00,2024-08-28T15:48:00,43,MATERIAL_JAM,LOW,EVENING,Taylor
53,M01,L1,2024-11-11T16:15:00,2024-11-11T17:07:00,52,MATERIAL_JAM,LOW,EVENING,Morgan
