date,line_id,shift_id,sku_id,supplier_id,produced_units,scrap_units,planned_hours,runtime_hours,downtime_minutes,standard_cycle_time_sec
2024-01-01,L1,MORNING,SKU009,SUP_B,6060,122,8.0,7.55,27,4.1
2024-01-01,L1,MORNING,SKU027,SUP_A,5796,111,8.0,7.3,42,4.2
2024-01-01,L1,MORNING,SKU003,SUP_B,6676,132,8.0,7.67,20,3.7
2024-01-01,L1,MORNING,SKU026,SUP_C,5630,116,8.0,7.88,7,4.6
2024-01-01,L1,EVENING,SKU011,SUP_A,4560,87,8.0,7.78,13,5.6
2024-01-01,L1,EVENING,SKU027,SUP_A,5960,124,8.0,7.67,20,4.2
2024-01-01,L1,EVENING,SKU009,SUP_B,5767,106,8.0,7.57,26,4.1
2024-01-01,L1,EVENING,SKU015,SUP_C,3502,78,8.0,7.68,19,7.0
2024-01-01,L1,NIGHT,SKU029,SUP_B,5554,162,8.0,7.78,13,4.5
2024-01-01,L1,NIGHT,SKU009,SUP_D,5608,170,8.0,7.42,35,4.1
2024-01-01,L1,NIGHT,SKU003,SUP_D,6322,191,8.0,7.62,23,3.7
2024-01-01,L1,NIGHT,SKU011,SUP_D,4329,130,8.0,7.68,19,5.6
2024-01-01,L2,MORNING,SKU007,SUP_C,9204,189,8.0,7.53,28,2.8
2024-01-01,L2,MORNING,SKU030,SUP_D,7957,152,8.0,7.5,30,3.0
2024-01-01,L2,MORNING,SKU018,SUP_B,7370,362,8.0,7.03,58,3.0
2024-01-01,L2,MORNING,SKU003,SUP_B,7377,368,8.0,7.77,14,3.7
2024-01-01,L2,EVENING,SKU012,SUP_B,3981,194,8.0,8.0,0,6.8
2024-01-01,L2,EVENING,SKU018,SUP_A,8703,171,8.0,7.67,20,3.0
2024-01-01,L2,EVENING,SKU020,SUP_D,5156,102,8.0,7.65,21,5.0
2024-01-01,L2,EVENING,SKU030,SUP_C,8557,165,8.0,7.73,16,3.0
2024-01-01,L2,NIGHT,SKU030,SUP_C,7028,212,8.0,6.65,81,3.0
2024-01-01,L2,NIGHT,SKU007,SUP_B,7432,440,8.0,6.8,72,2.8
2024-01-01,L2,NIGHT,SKU027,SUP_C,5777,164,8.0,7.7,18,4.2
2024-01-01,L2,NIGHT,SKU020,SUP_C,4828,154,8.0,7.88,7,5.0
2024-01-01,L3,MORNING,SKU026,SUP_A,5050,104,8.0,7.25,45,4.6
2024-01-01,L3,MORNING,SKU001,SUP_A,8870,170,8.0,7.5,30,2.7
2024-01-01,L3,MORNING,SKU025,SUP_A,4711,91,8.0,7.63,22,5.0
2024-01-01,L3,MORNING,SKU015,SUP_B,3619,74,8.0,7.5,30,7.0
2024-01-01,L3,EVENING,SKU015,SUP_A,3384,78,8.0,7.53,28,7.0
2024-01-01,L3,EVENING,SKU005,SUP_A,3291,60,8.0,7.28,43,7.2
2024-01-01,L3,EVENING,SKU020,SUP_D,4533,81,8.0,7.35,39,5.0
2024-01-01,L3,EVENING,SKU025,SUP_D,5154,100,8.0,7.4,36,5.0
2024-01-01,L3,NIGHT,SKU008,SUP_D,6105,170,8.0,7.65,21,4.0
2024-01-01,L3,NIGHT,SKU001,SUP_A,9191,273,8.0,7.63,22,2.7
2024-01-01,L3,NIGHT,SKU005,SUP_A,3474,96,8.0,7.95,3,7.2
2024-01-01,L3,NIGHT,SKU026,SUP_B,5006,144,8.0,7.42,35,4.6
2024-01-02,L1,MORNING,SKU003,SUP_B,6297,134,8.0,7.25,45,3.7
2024-01-02,L1,MORNING,SKU015,SUP_B,3681,73,8.0,7.5,30,7.0
2024-01-02,L1,MORNING,SKU011,SUP_A,4700,97,8.0,7.73,16,5.6
2024-01-02,L1,MORNING,SKU026,SUP_A,5554,120,8.0,7.63,22,4.6
2024-01-02,L1,EVENING,SKU028,SUP_C,4283,82,8.0,7.7,18,6.0
2024-01-02,L1,EVENING,SKU003,SUP_B,6700,130,8.0,7.8,12,3.7
2024-01-02,L1,EVENING,SKU011,SUP_B,4471,77,8.0,7.53,28,5.6
2024-01-02,L1,EVENING,SKU027,SUP_C,6129,130,8.0,7.53,28,4.2
2024-01-02,L1,NIGHT,SKU015,SUP_C,3377,105,8.0,7.9,6,7.0
2024-01-02,L1,NIGHT,SKU029,SUP_B,5588,168,8.0,7.7,18,4.5
2024-01-02,L1,NIGHT,SKU026,SUP_B,5052,150,8.0,7.55,27,4.6
2024-01-02,L1,NIGHT,SKU028,SUP_D,3835,109,8.0,7.62,23,6.0
2024-01-02,L2,MORNING,SKU007,SUP_D,8725,178,8.0,7.55,27,2.8
2024-01-02,L2,MORNING,SKU030,SUP_C,8549,160,8.0,7.42,35,3.0
2024-01-02,L2,MORNING,SKU008,SUP_B,5569,270,8.0,7.27,44,4.0
2024-01-02,L2,MORNING,SKU027,SUP_B,6105,307,8.0,7.85,9,4.2
2024-01-02,L2,EVENING,SKU012,SUP_A,3848,77,8.0,7.58,25,6.8
2024-01-02,L2,EVENING,SKU003,SUP_A,6230,125,8.0,7.27,44,3.7
2024-01-02,L2,EVENING,SKU007,SUP_A,7636,156,8.0,6.95,63,2.8
2024-01-02,L2,EVENING,SKU020,SUP_A,5324,110,8.0,7.7,18,5.0
2024-01-02,L2,NIGHT,SKU020,SUP_C,4845,145,8.0,7.6,24,5.0
2024-01-02,L2,NIGHT,SKU007,SUP_A,9141,272,8.0,7.77,14,2.8
2024-01-02,L2,NIGHT,SKU030,SUP_C,6914,209,8.0,6.97,62,3.0
2024-01-02,L2,NIGHT,SKU003,SUP_A,6242,184,8.0,7.62,23,3.7
2024-01-02,L3,MORNING,SKU001,SUP_A,9407,194,8.0,7.63,22,2.7
2024-01-02,L3,MORNING,SKU026,SUP_C,5550,109,8.0,7.67,20,4.6
2024-01-02,L3,MORNING,SKU025,SUP_B,4610,93,8.0,7.37,38,5.0
2024-01-02,L3,MORNING,SKU008,SUP_A,5608,112,8.0,7.2,48,4.0
2024-01-02,L3,EVENING,SKU001,SUP_A,9071,171,8.0,7.53,28,2.7
2024-01-02,L3,EVENING,SKU015,SUP_B,3435,78,8.0,7.82,11,7.0
2024-01-02,L3,EVENING,SKU013,SUP_B,3953,77,8.0,7.37,38,6.2
2024-01-02,L3,EVENING,SKU020,SUP_B,5148,101,8.0,7.65,21,5.0
2024-01-02,L3,NIGHT,SKU020,SUP_C,4511,135,8.0,7.07,56,5.0
2024-01-02,L3,NIGHT,SKU026,SUP_B,5185,151,8.0,7.48,31,4.6
2024-01-02,L3,NIGHT,SKU013,SUP_B,4044,124,8.0,7.5,30,6.2
2024-01-02,L3,NIGHT,SKU008,SUP_A,6245,185,8.0,7.47,32,4.0
2024-01-03,L1,MORNING,SKU009,SUP_D,6445,135,8.0,7.67,20,4.1
2024-01-03,L1,MORNING,SKU015,SUP_A,3539,55,8.0,7.42,35,7.0
2024-01-03,L1,MORNING,SKU011,SUP_C,4848,94,8.0,7.7,18,5.6
2024-01-03,L1,MORNING,SKU027,SUP_B,6053,121,8.0,7.5,30,4.2
2024-01-03,L1,EVENING,SKU009,SUP_D,5700,122,8.0,7.45,33,4.1
2024-01-03,L1,EVENING,SKU011,SUP_D,4798,95,8.0,7.78,13,5.6
2024-01-03,L1,EVENING,SKU003,SUP_A,6413,128,8.0,7.32,41,3.7
2024-01-03,L1,EVENING,SKU027,SUP_A,5882,112,8.0,7.53,28,4.2
2024-01-03,L1,NIGHT,SKU009,SUP_B,6058,177,8.0,7.7,18,4.1
2024-01-03,L1,NIGHT,SKU003,SUP_C,7175,214,8.0,7.93,4,3.7
2024-01-03,L1,NIGHT,SKU015,SUP_A,3616,103,8.0,7.65,21,7.0
2024-01-03,L1,NIGHT,SKU026,SUP_D,5037,153,8.0,7.45,33,4.6
